group_id;group_label;group_weight;criterion_id;criterion_label;within_group_weight;total_weight
umweltbelastung;Vermeidung von Umweltbelastung;0.3;co2;CO2-Emissionen;0.6;0.18
umweltbelastung;Vermeidung von Umweltbelastung;0.3;graueEnergie;Graue Energie;0.4;0.12
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.25;lebensdauer;Lebensdauer;0.4;0.1
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.25;unterhalt;Unterhalt;0.3;0.075
langlebigkeit_wirtschaftlichkeit;Langlebigkeit und Wirtschaftlichkeit;0.25;kosten;Kosten;0.3;0.075
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.25;versickerung;Versickerungsleistung;0.3;0.075
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.25;oberflaechentemperatur;Oberflächentemperatur;0.3;0.075
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.25;befahrbarkeit;Befahrbarkeit;0.2;0.05
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.25;barrierefreiheit;Barrierefreiheit;0.2;0.05
kreislauffaehigkeit;Kreislauffähigkeit;0.2;recyclingfaehigkeit;Recyclingfähigkeit;0.4;0.08
kreislauffaehigkeit;Kreislauffähigkeit;0.2;lokaleMaterialien;Lokale Materialien;0.3;0.06
kreislauffaehigkeit;Kreislauffähigkeit;0.2;modulareErneuerbarkeit;Modulare Erneuerbarkeit;0.3;0.06
